Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
 National,January 2014,$199K,-5.2%,11.4%,"305,198",-25.7%,-2.6%,"477,219",54.9%,-2.7%,"1,726,821",1.0%,1.9%,75,7,-4,96.8%,-0.2%,0.0%
,February 2014,$201K,0.7%,11.2%,"312,799",2.5%,-3.4%,"493,675",3.4%,-2.7%,"1,761,999",2.0%,1.9%,78,3,-1,97.0%,0.2%,0.0%
,March 2014,$209K,4.0%,8.6%,"394,649",26.2%,-6.5%,"644,927",30.6%,5.8%,"1,834,048",4.1%,3.5%,71,-7,0,97.2%,0.2%,-0.1%
,April 2014,$214K,2.7%,7.9%,"446,515",13.1%,-3.5%,"720,861",11.8%,4.3%,"1,903,597",3.8%,2.5%,59,-12,-1,97.5%,0.3%,-0.2%
,May 2014,$221K,2.9%,6.1%,"510,304",14.3%,-5.1%,"746,584",3.6%,5.5%,"1,978,676",3.9%,2.7%,52,-7,-3,97.7%,0.1%,-0.3%
,June 2014,$229K,3.7%,5.0%,"545,736",6.9%,3.2%,"703,267",-5.8%,7.8%,"2,056,717",3.9%,4.4%,48,-4,-4,97.8%,0.1%,-0.3%
,July 2014,$228K,-0.2%,4.6%,"537,376",-1.5%,-2.5%,"676,274",-3.8%,3.6%,"2,131,498",3.6%,6.6%,46,-2,-7,97.7%,-0.1%,-0.3%
,August 2014,$226K,-1.2%,4.7%,"517,576",-3.7%,-4.3%,"602,399",-10.9%,-1.9%,"2,120,659",-0.5%,6.0%,51,5,-3,97.5%,-0.2%,-0.3%
,September 2014,$219K,-3.1%,4.5%,"472,748",-8.7%,4.9%,"576,145",-4.4%,4.3%,"2,102,784",-0.8%,4.9%,56,6,-1,97.3%,-0.2%,-0.3%
,October 2014,$219K,0.0%,4.8%,"483,078",2.2%,7.3%,"558,673",-3.0%,2.8%,"2,041,554",-2.9%,3.2%,61,5,1,97.1%,-0.1%,-0.3%
,November 2014,$219K,0.3%,6.1%,"380,245",-21.3%,-1.5%,"399,312",-28.5%,-1.9%,"1,915,883",-6.2%,2.1%,64,3,0,97.1%,-0.1%,-0.1%
,December 2014,$221K,1.0%,5.3%,"447,642",17.7%,9.0%,"328,941",-17.6%,6.8%,"1,743,056",-9.0%,1.9%,68,4,-1,97.0%,-0.1%,-0.1%
,January 2015,$212K,-4.1%,6.6%,"311,272",-30.5%,2.0%,"514,232",56.3%,7.8%,"1,747,168",0.2%,1.2%,76,8,1,96.7%,-0.2%,-0.1%
,February 2015,$214K,0.8%,6.7%,"337,472",8.4%,7.9%,"526,223",2.3%,6.6%,"1,759,494",0.7%,-0.1%,76,0,-2,97.0%,0.3%,0.0%
,March 2015,$224K,4.8%,7.4%,"461,113",36.6%,16.8%,"706,317",34.2%,9.5%,"1,822,091",3.6%,-0.7%,67,-9,-4,97.5%,0.4%,0.3%
,April 2015,$231K,2.9%,7.6%,"498,979",8.2%,11.7%,"795,746",12.7%,10.4%,"1,936,506",6.3%,1.7%,55,-12,-4,97.8%,0.3%,0.3%
,May 2015,$238K,3.2%,8.0%,"547,738",9.8%,7.3%,"780,395",-1.9%,4.5%,"2,023,421",4.5%,2.3%,48,-7,-4,98.0%,0.2%,0.3%
,June 2015,$244K,2.4%,6.6%,"635,921",16.1%,16.5%,"758,549",-2.8%,7.9%,"2,058,981",1.8%,0.1%,45,-3,-3,98.1%,0.1%,0.4%
,July 2015,$241K,-1.1%,5.7%,"627,086",-1.4%,16.7%,"726,374",-4.2%,7.4%,"2,074,252",0.7%,-2.7%,45,0,-1,98.0%,-0.1%,0.4%
,August 2015,$239K,-1.1%,5.8%,"566,602",-9.6%,9.5%,"645,543",-11.1%,7.2%,"2,044,105",-1.5%,-3.6%,47,2,-4,97.9%,-0.2%,0.4%
,September 2015,$232K,-2.7%,6.1%,"528,318",-6.8%,11.8%,"606,165",-6.1%,5.2%,"2,014,110",-1.5%,-4.2%,50,3,-6,97.7%,-0.2%,0.4%
,October 2015,$232K,-0.1%,6.0%,"499,152",-5.5%,3.3%,"569,732",-6.0%,2.0%,"1,941,999",-3.6%,-4.9%,54,3,-8,97.5%,-0.2%,0.4%
,November 2015,$233K,0.5%,6.3%,"395,847",-20.7%,4.1%,"434,389",-23.8%,8.8%,"1,814,504",-6.6%,-5.3%,56,3,-8,97.4%,-0.1%,0.3%
,December 2015,$238K,1.9%,7.3%,"491,090",24.1%,9.7%,"339,449",-21.9%,3.2%,"1,626,320",-10.4%,-6.7%,60,4,-7,97.4%,0.0%,0.4%
,January 2016,$228K,-4.1%,7.3%,"343,529",-30.0%,10.4%,"500,056",47.3%,-2.8%,"1,614,467",-0.7%,-7.6%,66,5,-10,97.2%,-0.2%,0.5%
,February 2016,$227K,-0.6%,5.7%,"367,465",7.0%,8.9%,"587,071",17.4%,11.6%,"1,649,475",2.2%,-6.3%,68,3,-8,97.3%,0.1%,0.3%
,March 2016,$238K,5.1%,6.1%,"488,970",33.1%,6.0%,"756,176",28.8%,7.1%,"1,729,583",4.9%,-5.1%,60,-8,-7,97.8%,0.5%,0.4%
,April 2016,$245K,2.8%,6.0%,"529,073",8.2%,6.0%,"778,582",3.0%,-2.2%,"1,804,013",4.3%,-6.8%,49,-11,-6,98.1%,0.3%,0.3%
,May 2016,$251K,2.6%,5.4%,"594,284",12.3%,8.5%,"762,386",-2.1%,-2.3%,"1,842,500",2.1%,-8.9%,42,-6,-6,98.4%,0.2%,0.3%
,June 2016,$259K,3.0%,6.0%,"664,036",11.7%,4.4%,"761,931",-0.1%,0.4%,"1,883,514",2.2%,-8.5%,41,-2,-4,98.4%,0.1%,0.3%
,July 2016,$256K,-1.1%,6.0%,"587,646",-11.5%,-6.3%,"685,350",-10.1%,-5.6%,"1,901,641",1.0%,-8.3%,41,1,-4,98.4%,-0.1%,0.3%
,August 2016,$255K,-0.4%,6.8%,"617,281",5.0%,8.9%,"661,856",-3.4%,2.5%,"1,861,867",-2.1%,-8.9%,44,2,-3,98.2%,-0.2%,0.3%
,September 2016,$251K,-1.5%,8.2%,"554,992",-10.1%,5.0%,"614,656",-7.1%,1.4%,"1,841,378",-1.1%,-8.6%,47,3,-4,98.0%,-0.2%,0.3%
,October 2016,$251K,-0.3%,8.0%,"505,192",-9.0%,1.2%,"542,082",-11.8%,-4.9%,"1,756,261",-4.6%,-9.6%,49,3,-4,97.9%,-0.1%,0.4%
,November 2016,$254K,1.3%,8.8%,"478,507",-5.3%,20.9%,"445,348",-17.8%,2.5%,"1,621,292",-7.7%,-10.6%,51,2,-5,97.8%,-0.1%,0.4%
,December 2016,$253K,-0.3%,6.5%,"500,006",4.5%,1.8%,"333,524",-25.1%,-1.7%,"1,435,744",-11.4%,-11.7%,55,4,-5,97.7%,-0.1%,0.3%
,January 2017,$246K,-2.7%,8.0%,"362,869",-27.4%,5.6%,"508,569",52.5%,1.7%,"1,423,864",-0.8%,-11.8%,59,5,-6,97.5%,-0.1%,0.3%
,February 2017,$246K,0.1%,8.8%,"371,041",2.3%,1.0%,"571,792",12.4%,-2.6%,"1,454,746",2.2%,-11.8%,60,0,-9,97.7%,0.2%,0.4%
,March 2017,$256K,4.1%,7.6%,"536,259",44.5%,9.7%,"769,980",34.7%,1.8%,"1,531,341",5.3%,-11.5%,50,-10,-10,98.1%,0.4%,0.3%
,April 2017,$261K,2.0%,6.9%,"519,351",-3.2%,-1.8%,"731,076",-5.1%,-6.1%,"1,594,462",4.1%,-11.6%,41,-9,-8,98.5%,0.4%,0.4%
,May 2017,$268K,2.5%,6.8%,"634,144",22.1%,6.7%,"807,506",10.5%,5.9%,"1,654,191",3.7%,-10.2%,37,-4,-5,98.7%,0.2%,0.3%
,June 2017,$276K,3.0%,6.8%,"696,173",9.8%,4.8%,"788,500",-2.4%,3.5%,"1,712,988",3.6%,-9.1%,35,-2,-5,98.8%,0.1%,0.3%
,July 2017,$272K,-1.6%,6.2%,"594,704",-14.6%,1.2%,"691,968",-12.2%,1.0%,"1,724,997",0.7%,-9.3%,36,1,-5,98.7%,-0.1%,0.3%
,August 2017,$270K,-0.6%,6.0%,"631,951",6.3%,2.4%,"684,051",-1.1%,3.4%,"1,705,646",-1.1%,-8.4%,39,3,-5,98.5%,-0.2%,0.3%
